title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Mecseki Müzli,https://www.mecsekimuzli.com/,"Minden csütörtök reggelre kiválogatjuk, amit Pécsről tudnod kell és tudni érdemes a héten. Iratkozz fel, próbáld ki a hírlevelet!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705606043978-muzli_newlogo_final_02_900.png?width=75&height=75&resize=contain,False,['news'],0,False,315,True,7058051,False,,,,#ff0000,hu,1660056814,3152.1,0,1706765442,True,a71e3ea4-7fa3-4a55-882c-e97e6b4570b4
SanAngelo.News,https://www.sanangelo.news/,"local news, sports for San Angelo by San Angelo",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693495555479-5D5A0187-E2C2-4E33-A6CA-8DC0A883ADF6.png?width=75&height=75&resize=contain,False,['news'],705,True,216,True,38233912,False,,,,#e86d6d,en,1668440232,2868.6,2,1695693263,True,5aa6d17e-3249-4e4b-b0cd-c4d0d05d0fa5
The Last Ambulance / La Derniére Ambulance,https://www.thelastambulance.com/,The Last Ambulance / La Dernière Ambulance is tracking the crisis in emergency prehospital care.  ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679688603572-BlakeColorHeadOnbw-1.jpg?width=75&height=75&resize=contain,False,['news'],2614,True,,False,6222761,False,,,,#00509f,en,1679688516,2614,0,1706884644,True,df58b670-4244-4da8-8645-065fb2a85a18
Asia Undercovered,https://www.undercovered.asia/,"Bi-monthly round-ups and in-depth analysis of undercovered news, events, trends and people changing Asia, by journalist Nithin Coca.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687483571265-No-Text-Logo-transparent-60X60.png?width=75&height=75&resize=contain,False,['news'],2308,True,,False,27120744,False,,,,#ff8000,en,1687483572,2308,29,1702364751,True,13fede48-55da-473f-93c5-074fd42d5d6d
The Bad Newsletter,https://badnewsletter.ghost.io/,"Journalism about journalism: The Bad Newsletter looks at news media, think tanks, and climate change.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706751635407-bad-newsletter-logo-1.jpg?width=75&height=75&resize=contain,False,['news'],1516,True,69,True,10498335,False,,,,#ff1a75,en,1706751636,2207.2,0,1706659213,True,6ad152f9-f4c8-4c9a-9796-7d279e0b96df
Great Central Gazette,https://www.greatcentralgazette.org/,"We publish investigations, features, culture and events to keep you informed of what’s happening around Leicester. Owned by the community, for the community.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692473103336-PrimarySquare400x400-2.jpg?width=75&height=75&resize=contain,False,['news'],405,True,175,True,3424758,False,,,,#e7438a,en,1683877692,2152.58,16,1706508048,True,d3e26acc-a242-4f2b-a37e-7d9c344bebd0
하우스메이트(Howsmate),https://mate.sharehows.com/,"꿀팁, 리뷰 노하우 등 크리에이터들의 생생한 경험을 큐레이션 합니다. 하우스메이트들과 함께 일상에서 찾은 노하우와 꿀팁을 알려드려요!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700721570943---------_500.png?width=75&height=75&resize=contain,False,['news'],1978,True,,False,10497923,False,,,,#A7D500,ko,1692263416,1978,13,1706513116,False,8084e91b-4901-4409-9c28-1276e1b9048b
tag eins Magazin,https://www.tageins.at/,Journalismus für Lösungen – gegen den Frust.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698415618891-tag-eins-logo-social-media-schwarz.png?width=75&height=75&resize=contain,False,['news'],1945,True,,False,2445707,False,,,,#ed1764,de,1695985065,1945,4,1706770854,True,580f15c3-d1b9-4748-811d-913841564f27
Black Catholic Messenger,https://www.blackcatholicmessenger.org/,Nonprofit media amplifying Black Catholic voices since 2020.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662064186310-ghostsquare.png?width=75&height=75&resize=contain,False,['news'],1863,True,,False,10498043,False,,,,#15171A,en,1662064187,1863,38,1706816407,True,a1c116d2-9a5f-47fa-9526-0781353b5d36
Beautiful Public Data,https://www.beautifulpublicdata.com/,"A curated selection of visually interesting datasets collected by local, state and federal government agencies. By Jon Keegan.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664210131780-square.png?width=75&height=75&resize=contain,False,['news'],1574,True,,False,1406786,False,,,,#0fadb8,en,1664210133,1574,32,1706540450,True,51ae8198-57e8-408c-9840-a0a709369dd4
工劳小报｜工劳快讯,https://feed.laborinfozh.com/,关注当代打工人，理解基层劳动者,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669830219835-1669830129091-1669830039377-logos.001-1.jpeg?width=75&height=75&resize=contain,False,['news'],1416,True,0,True,10498513,False,,,,#3a74f5,zh,1669830042,1416,10,1706144167,True,c67896c3-c1d1-4902-af63-70e96b1908cb
Disclosure Diaries,https://www.disclosurediaries.com/,"The most relevant updates regarding the public disclosure of Non-Human Intelligence delivered to your inbox on a weekly basis, without the BS.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692710663606-Publication-Logo-Dark-1-1.png?width=75&height=75&resize=contain,False,['news'],1381,True,,False,47145187,False,,,,#000000,en,1692710664,1381,32,1706540103,True,87fc02d8-9066-4c21-a296-039ecf2dc610
Rembobine,https://rembobine.info/,"Une enquête, un an, quel impact ? 💥 Rembobine, la newsletter qui lutte contre l'obsolescence de l'info ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681493462364-logo-nobg.png?width=75&height=75&resize=contain,False,['news'],1270,True,,False,41353640,False,,,,#f834cd,fr,1677336393,1270,8,1706600626,False,3909fce2-38f3-4efc-b5f7-a62c04688b75
The Gist,https://www.thegist.ie/,"News, Data policy, law and the absurdity of life. A round up of what Ireland's talking about.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695597521125-Small-Poolbeg_chimneys-2.jpg?width=75&height=75&resize=contain,False,['news'],1166,True,,False,1584816,False,,,,#0061a7,en,1660244824,1166,4,1706443352,True,5471c2e9-2c68-4a6b-a35e-79604db626ed
The New York Groove,https://nygroove.nyc/,Ace reporting on how to be a better New Yorker.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695168451918-TNYG-Logo-Stacked-WH.jpg?width=75&height=75&resize=contain,False,['news'],1112,True,,False,20843062,False,,,,#030303,en,1695168452,1112,5,1706798717,True,12cd2e19-5f69-409e-abd4-7d14c1e334f4
brandtrackers,https://brandtrackers.ghost.io/,brandtrackers is a roundup of the most important news for the creative industry,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681328377612-bt_ex3.jpg?width=75&height=75&resize=contain,False,['news'],716,True,25,True,9999259,False,,,,#011e09,en,1681328378,965.6,19,1701428589,True,08ddafc8-91ac-4bf4-8b7d-b9b7c707062c
Kensington Voice,https://www.kensingtonvoice.com/,"We're a community hub & newsroom that pairs direct services with journalism to serve North Philly's Fairhill, Harrowgate, Kensington, and Norris Square neighborhoods.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693082859814-kv-logo.png?width=75&height=75&resize=contain,False,['news'],922,True,,False,713838,False,,,,#ff1a75,en,1693082860,922,5,1706740886,True,df307330-f278-4192-a7e5-c142511a0d8a
Trending News Wala,https://trendingnewswala.online/,Free Guest Posting and Business Review Platform to Reach Maximum People,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699017783241-trending--500---500-px-.png?width=75&height=75&resize=contain,False,['news'],877,True,3,True,4384680,False,,,,#fb6404,en,1662990872,902.87,0,1706852580,False,8d1f518e-ec0a-4ce8-be75-df33edb67e5f
The Brush Pass,https://thebrushpass.projectbrazen.com/,"There's the world you think you know. Then, there's the world of The Brush Pass — a weekly newsletter exploring the shadowy world of espionage.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671373247829-brush-pass-red-favicon.png?width=75&height=75&resize=contain,False,['news'],843,True,,False,4719120,False,,,,#C92E24,en,1671373251,843,1,1700654128,True,a7d1ea2f-c071-4f43-a0c5-bf572ebe03b4
DisinfoDocket,https://www.disinfodocket.com/,DisinfoDocket curates the latest research and media reporting on influence operations and delivers it to your inbox 3 times a week.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665044867172-DD-xl-Bourton.jpg?width=75&height=75&resize=contain,False,['news'],815,True,,False,14637625,False,,,,#bd813f,en,1665044868,815,3,1706877071,True,93f2ac9b-2717-4ac7-b80a-0f6266540940
The Devil's Advocates,https://the-devils-advocates.ghost.io/,"When hate goes on trial, the devil gets a lawyer.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690378644195-14.png?width=75&height=75&resize=contain,False,['news'],804,True,,False,20614739,False,,,,#d08ce8,en,1690378645,804,31,1704949705,True,48d87a8b-11e2-4a29-b0f7-d58b51b715fe
8716.ch Schmerikon,https://www.8716.ch/,Aktuelles rund um Schmerikon SG in der Schweiz.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698820096657-8716-logo-quadratisch-3.png?width=75&height=75&resize=contain,False,['news'],635,True,,False,17535810,False,,,,#15171A,de,1680513520,635,0,1706778301,True,62d49bd3-f681-4964-afd4-52f84adec359
Madison Minutes,https://membership.madisonminutes.com/,"We create news products that make life easier for Madison (Wi.) residents. Our flagship morning newsletter is sent via email every weekday morning.
",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660149779389-5gpVJ-lY_400x400.jpg?width=75&height=75&resize=contain,False,['news'],617,True,,False,10499352,False,,,,#13b9cd,en,1660149780,617,0,1705255258,True,995152c6-5b25-45fc-9efc-75ca981dda1c
This Day In Metal,https://thisdayinmetal.com/,"Yesterday, Today, Everyday Heavy Metal",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703730616004-tdim.png?width=75&height=75&resize=contain,False,['news'],445,True,0,True,277630,False,,,,#3f7bca,en,1703730617,445,0,1703383480,False,c1de4481-9b6b-4072-93a1-7a0afe6d72e1
Mania Africa,https://mania.africa/,"Mania Africa is the publication for lifestyle buffs, soccer and tech enthusiasts, and forward-thinking techno-nerds.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701988596739-35.png?width=75&height=75&resize=contain,False,['news'],422,True,,False,10499556,False,,,,#000000,en,1701988598,422,0,1701987632,True,8129446e-9d78-44d6-907e-6408ed26495c
PMP Magazine,https://www.pmp-magazine.com/,Transparency. Truth. Decency. Accuracy. || News magazine since 2016 || Fact-based analyses • Thought-provoking opinions • Editorially independent,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664812257324-new-logo-pmp-00000-icon-200x200-2.png?width=75&height=75&resize=contain,False,['news'],50,True,33,True,3270934,False,,,,#004c66,en,1660152991,380.282,1,1706836500,True,1ef9846e-40d1-44d1-a3a3-4c68e8487408
Four Points Press,https://www.fourpointspress.com/,"The local, independent voice of the Crow Nation.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699989459594-FourPointsCOLOR--1--1.png?width=75&height=75&resize=contain,False,['news'],221,True,,False,1169775,False,,,,#0f0b01,en,1699989460,221,14,1706792420,True,45453bf5-da82-47d9-bf13-b2bd2edef5b0
中国劳动趋势,https://www.laodongqushi.com/,关乎中国基层劳动者的数据新闻与报告,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676796405114-1676796373667-1676796343462-2022-10-04-00.26.09------.png?width=75&height=75&resize=contain,False,['news'],216,True,,False,8657064,False,,,,#981aff,zh,1676796344,216,7,1705550320,False,2533761d-9634-4593-b2cb-4320ef5aed96
n10,https://n10.in/,Crowd Sources Local News,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662990822605-n10-sq.png?width=75&height=75&resize=contain,False,['news'],214,True,,False,44618690,False,,,,#004398,en,1662990824,214,15,1706860308,False,32590dbc-30ae-41e8-b89f-abeb17080c1f
Código Ganador,https://codigoganador.com/,"Entrevistas a emprendedores, casos de éxito empresariales, modelos de negocio y estrategias de marketing.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694159158973-Codigo-Ganador-Icon-Negro.png?width=75&height=75&resize=contain,False,['news'],198,True,0,True,9999802,False,,,,#52B788,es,1694158855,198,7,1701943860,False,a1db3dab-5586-4ad7-ad15-cc1d7af72e82
Français à Barcelone - Magazine,https://francaisabarcelone.com/,"L'incontournable rendez-vous des francophones Inscrivez-vous pour recevoir gratuitement chaque semaine les Actualités, culture et bons plans",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683472248635-Favicon-Barcelone-1.png?width=75&height=75&resize=contain,False,['news'],193,True,,False,12051692,False,,,,#0050a4,fr,1662182215,193,6,1690522221,True,df08b81b-e315-4e36-bb57-574b35ea9d5a
Recap Roswell,https://recap-roswell.ghost.io/,A summary of Roswell City Council meetings created via AI.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698782092603-NVLANT4d.jpeg?width=75&height=75&resize=contain,False,['news'],145,True,0,True,10499847,False,,,,#4a7637,en,1698782093,145,24,1706609682,True,b7c62078-94e1-43c5-b3c6-851fcb299fd2
Shoreham Life,https://www.shorehamlife.com/,News from Shoreham-by-Sea and Shoreham Beach is the UK’s West Sussex.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670713251484-shoreham-life-icon.png?width=75&height=75&resize=contain,False,['news'],143,True,0,True,45729702,False,,,,#0061ff,en,1670713254,143,3,1699899240,False,27878a64-d69e-410d-a3e4-e147b4785fe7
Dismal's Smacks,https://dismal-jellyfish.com/,A barebones 'just the facts' approach of curated and sourced materials with opinions from one ape's journey in the ongoing GameStop saga.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698961415371-112%20(4).webp?width=75&height=75&resize=contain,False,['news'],134,True,0,True,51474275,False,,,,#93186c,en,1698961416,134,5,1706560340,False,9813c6e5-f363-4239-bc2f-1279d78a3bef
UNSW Queer Collective,https://unswqueer.co/,The UNSW Queer Collective's official news and resource portal.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678089976120-UNSW-Queer-Collective-logo-dark.webp?width=75&height=75&resize=contain,False,['news'],134,True,,False,122794917,False,,,,#FF1A75,en,1678089977,134,18,1706760000,True,0848fd1b-35cb-4156-beb2-07ecb2a7d8bc
Happy Daze,https://happydaze.io/,The best place for positive and uplifting news. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670564628916-android-chrome-192x192.png?width=75&height=75&resize=contain,False,['news'],129,True,,False,6327417,False,,,,#FF1A75,en,1663123119,129,2,1706803251,True,09857a3e-8c9a-457e-98cd-cbe4016885bb
PEAK News,https://getpeakonline.com/,PEAK News - Most exclusive news portal in Sri Lanka,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680709757744-peak-icon-tb-1.png?width=75&height=75&resize=contain,False,['news'],124,True,,False,97844277,False,,,,#000000,en,1680709758,124,1,1698305128,False,7f65ee66-9799-43fa-b491-1fd88c09b899
